time,wimg_val,wimg_stdev,pwimg_val,pwimg_stdev
5,0.00109475624291252,0,2.32552486701184e-14,-1
15,0.000865193897866931,-1,2.14021385963102e-14,-2
25,0.00106667466123735,0,1.98025381118535e-14,-2
35,0.000928850847239248,-1,2.03992276158645e-14,-2
45,0.00064228490715261,-1,2.23163632166503e-14,-1
55,0.000612643991799175,-1,2.53063751862451e-14,-1
65,0.000810154861285385,-1,2.74119211699696e-14,-1
75,0.000952126473349184,-1,2.69646395697687e-14,-1
85,0.000847388514925859,-1,3.01466762827017e-14,-1
95,0.00107050818368349,0,2.84880638082489e-14,-1
105,0.000914888875581067,-1,3.0562768230915e-14,-1
115,0.000764010654197009,-1,3.58966918028772e-14,-1
125,0.000855423647000573,-1,3.26533285132297e-14,-1
135,0.000788807503142135,-1,2.83821148689591e-14,-1
145,0.000621602958662445,-1,2.769335946622e-14,-1
155,0.000802128967865468,-1,3.21304962780076e-14,-1
165,0.000765443436936231,-1,3.43191530548671e-14,-1
175,0.000580932793080983,-2,3.59441564687904e-14,-1
185,0.000872750177052212,-1,3.65913657369493e-14,-1
195,0.00103671522625967,0,3.43319753484232e-14,-1
205,0.00089729764580176,-1,3.41762692844932e-14,-1
215,0.00111705322947903,0,2.95713695494158e-14,-1
225,0.00112579169780356,0,2.7344064579698e-14,-1
235,0.00124960914517896,0,3.0877089343473e-14,-1
245,0.00136437467556733,1,3.61788624212763e-14,-1
255,0.0011051542736196,0,4.91642890784312e-14,-1
265,0.00148313964644653,1,6.93305026019849e-14,0
275,0.00173692215956925,1,8.8747363459022e-14,1
285,0.00213050099922778,3,1.1468571287879e-13,1
295,0.00195852699332613,2,1.36468118894237e-13,2
305,0.00169648786035107,1,1.50219200321008e-13,2
315,0.0013682300809182,1,1.48278145334526e-13,2
325,0.000974347724072476,-1,1.19244868443904e-13,1
335,0.000847656840046565,-1,9.05454483322974e-14,1
345,0.000971841992352268,-1,6.32184724288614e-14,0
355,0.00111210638937551,0,5.1617496612019e-14,-1
365,0.00156426567833031,1,6.341249147158e-14,0
375,0.00140290292214165,1,7.55285374907737e-14,0
385,0.0010928599664024,0,8.83169115276859e-14,1
395,0.000811174703630893,-1,9.21710918453201e-14,1
405,0.00107859032659117,0,9.92114468691261e-14,1
415,0.00128805910499519,0,1.06165607189851e-13,1
425,0.00116150231242658,0,1.0799213421963e-13,1
435,0.00114072618933673,0,1.10033408187288e-13,1
445,0.00108165020472838,0,1.10019211446565e-13,1
455,0.0011666718783888,0,1.10056337059278e-13,1
465,0.0015056006915898,1,1.10510611532629e-13,1
475,0.00165636813545005,1,1.11212767541451e-13,1
485,0.0018201927992671,2,1.04257408003416e-13,1
495,0.00197187453929231,2,1.00888628987547e-13,1
505,0.00189436961834532,2,9.86111297791923e-14,1
515,0.00187270631545207,2,9.75301023727937e-14,1
525,0.00186923896655887,2,9.55633285072077e-14,1
535,0.00188870067997825,2,8.62382032856659e-14,0
545,0.00158266744371087,1,8.48945149465085e-14,0
555,0.00149223419140971,1,7.72085693602556e-14,0
565,0.00156571098680141,1,7.34941791953797e-14,0
575,0.00136074733351775,0,7.24243235557423e-14,0
585,0.000975022812535877,-1,7.1521956073724e-14,0
595,0.000964963911384609,-1,7.7517581304058e-14,0
605,0.0010600382518192,0,7.82694279420087e-14,0
615,0.000820156362346419,-1,8.4449822424568e-14,0
625,0.000736348467701469,-1,8.44012572913305e-14,0
635,0.000979729195540294,-1,8.90321453704915e-14,1
645,0.000821280160281181,-1,9.18576325025557e-14,1
655,0.0010130117889383,0,9.3449202881099e-14,1
665,0.00166884993212994,1,9.9644040527511e-14,1
675,0.0013756941510768,1,9.51361925168683e-14,1
685,0.0011161779365365,0,9.23531563519911e-14,1
695,0.00126699635631624,0,1.00432378734091e-13,1
705,0.00125229508059089,0,1.01841383425313e-13,1
715,0.00116005582263677,0,9.51662808018193e-14,1
725,0.0014357163107705,1,9.75870481026809e-14,1
735,0.00110542856648729,0,8.90031132256918e-14,1
745,0.00109401951369668,0,8.94173440884242e-14,1
755,0.00127508979451012,0,9.26482380043604e-14,1
765,0.00129955709594262,0,8.54746771398325e-14,0
775,0.00138458239806905,1,8.7639369697358e-14,1
785,0.00104238642706613,0,8.35504308841321e-14,0
795,0.00109751413239764,0,7.79683145370564e-14,0
805,0.00108256323444006,0,7.17457776755202e-14,0
815,0.000789075522708402,-1,6.95528304977447e-14,0
825,0.000710002150899963,-1,6.56536391049905e-14,0
835,0.000772642473126768,-1,6.24870350374184e-14,0
845,0.000991047467523872,0,6.38910121092768e-14,0
855,0.000936847578966424,-1,6.12425827948543e-14,0
865,0.000545802974768127,-2,5.66795359498427e-14,0
875,0.000781227726835113,-1,4.95599305899536e-14,-1
885,0.000691731202212259,-1,4.98426821184392e-14,-1
895,0.000944655360002008,-1,4.97626569536188e-14,-1
905,0.00100125175101585,0,4.75396260246075e-14,-1
915,0.000865278764911899,-1,4.06321304088764e-14,-1
925,0.00122954178384773,0,3.3592801248368e-14,-1
935,0.00116040552495662,0,3.13010293469708e-14,-1
945,0.000757027790714908,-1,3.18457754878315e-14,-1
955,0.000895425953423041,-1,3.32109729932113e-14,-1
965,0.000777887284827304,-1,2.65671981279683e-14,-1
975,0.000504283580524661,-2,2.78086143566014e-14,-1
985,0.000495108845296687,-2,2.82435150014146e-14,-1
995,0.000415245168764797,-2,2.63022596153816e-14,-1
1005,0.000429164135828073,-2,3.05822919768034e-14,-1
1015,0.000884869698942727,-1,3.00068651108461e-14,-1
1025,0.000831088411367604,-1,3.09312567147965e-14,-1
1035,0.000506742916588352,-2,3.06021999413694e-14,-1
1045,0.000627367973603231,-1,2.84226227097666e-14,-1
1055,0.000727586274890123,-1,2.91953757533901e-14,-1
1065,0.000536361484445779,-2,2.9511134022623e-14,-1
1075,0.000685180394109027,-1,3.04858909161013e-14,-1
1085,0.000744185696698611,-1,3.4207458652302e-14,-1
1095,0.000616846421909336,-1,2.83116501411423e-14,-1
1105,0.000747569748436087,-1,2.4034466865613e-14,-1
1115,0.00109613585055646,0,2.37991506335169e-14,-1
1125,0.000749338098755377,-1,2.5852791504988e-14,-1
1135,0.000956894132458936,-1,2.91352482683235e-14,-1
1145,0.000533844052060052,-2,2.72448564292452e-14,-1
1155,0.00063831682002611,-1,2.72702553269457e-14,-1
1165,0.000641297148080102,-1,2.95277191035507e-14,-1
1175,0.00075992890935665,-1,3.29782459353468e-14,-1
1185,0.000750676154269478,-1,3.17906434238676e-14,-1
1195,0.000778986900956656,-1,3.10565216276892e-14,-1
1205,0.000774115472241097,-1,3.01955981470743e-14,-1
1215,0.000462613108947564,-2,2.74919958894652e-14,-1
1225,0.000671327291071017,-1,2.94381487459338e-14,-1
1235,0.000802512410778342,-1,3.31267526314664e-14,-1
1245,0.000946275035826839,-1,3.39497668373082e-14,-1
1255,0.00112219728631021,0,3.52226178337181e-14,-1
1265,0.00131795249995216,0,3.31020770313458e-14,-1
1275,0.000929778955319517,-1,2.84319856825617e-14,-1
1285,0.00100510896821925,0,2.87807590640402e-14,-1
1295,0.000970446821230362,-1,3.05553402388195e-14,-1
1305,0.000600983387220552,-1,2.79624010392138e-14,-1
1315,0.000418126532557121,-2,2.47940708189197e-14,-1
1325,0.000531990569826395,-2,2.51667218358304e-14,-1
1335,0.000422576973214584,-2,2.64687805645955e-14,-1
1345,0.000393020738831101,-2,2.89179743729278e-14,-1
1355,0.000388921496259664,-2,2.707060838873e-14,-1
1365,0.000487249088287674,-2,2.64296019272503e-14,-1
1375,0.000748592276816632,-1,2.87297731497484e-14,-1
1385,0.000547365699048357,-2,3.1031242448828e-14,-1
1395,0.000514244780874161,-2,2.72929352934699e-14,-1
1405,0.000457739775824951,-2,2.73634904971846e-14,-1
1415,0.000540968419719457,-2,2.74165222585575e-14,-1
1425,0.000534700719718846,-2,2.92346618204152e-14,-1
1435,0.000398043798585242,-2,2.77421932762667e-14,-1
1445,0.000540180803162123,-2,2.52278562921332e-14,-1
1455,0.000758087360775843,-1,2.51673301238268e-14,-1
1465,0.000733813360444716,-1,2.18252803044874e-14,-2
1475,0.000822809234483045,-1,2.46913437837252e-14,-1
1485,0.00115849875131151,0,2.81800972727409e-14,-1
1495,0.0011602719536078,0,2.5789710301853e-14,-1
